BATTLE CITY - BOSS FIGHT LOG
----------------------------
Tick 435: Raw=20, Pruned=24, Speedup=0.83x
Tick 436: Raw=20, Pruned=24, Speedup=0.83x
Tick 437: Raw=20, Pruned=24, Speedup=0.83x
Tick 438: Raw=20, Pruned=24, Speedup=0.83x
Tick 439: Raw=20, Pruned=24, Speedup=0.83x
Tick 440: Raw=20, Pruned=24, Speedup=0.83x
Tick 441: Raw=20, Pruned=24, Speedup=0.83x
Tick 442: Raw=20, Pruned=24, Speedup=0.83x
Tick 443: Raw=20, Pruned=24, Speedup=0.83x
Tick 444: Raw=20, Pruned=24, Speedup=0.83x
Tick 445: Raw=20, Pruned=24, Speedup=0.83x
Tick 446: Raw=20, Pruned=24, Speedup=0.83x
Tick 447: Raw=20, Pruned=24, Speedup=0.83x
Tick 448: Raw=20, Pruned=24, Speedup=0.83x
Tick 449: Raw=20, Pruned=24, Speedup=0.83x
Tick 450: Raw=20, Pruned=24, Speedup=0.83x
Tick 451: Raw=20, Pruned=24, Speedup=0.83x
Tick 452: Raw=20, Pruned=24, Speedup=0.83x
Tick 453: Raw=20, Pruned=24, Speedup=0.83x
Tick 454: Raw=20, Pruned=24, Speedup=0.83x
Tick 455: Raw=20, Pruned=24, Speedup=0.83x
Tick 456: Raw=20, Pruned=24, Speedup=0.83x
Tick 457: Raw=20, Pruned=24, Speedup=0.83x
Tick 458: Raw=20, Pruned=24, Speedup=0.83x
Tick 459: Raw=20, Pruned=24, Speedup=0.83x
Tick 460: Raw=20, Pruned=24, Speedup=0.83x
Tick 461: Raw=20, Pruned=24, Speedup=0.83x
Tick 462: Raw=20, Pruned=24, Speedup=0.83x
Tick 463: Raw=20, Pruned=24, Speedup=0.83x
Tick 464: Raw=20, Pruned=24, Speedup=0.83x
Tick 465: Raw=20, Pruned=24, Speedup=0.83x
Tick 466: Raw=20, Pruned=24, Speedup=0.83x
Tick 467: Raw=20, Pruned=24, Speedup=0.83x
Tick 468: Raw=20, Pruned=24, Speedup=0.83x
Tick 469: Raw=20, Pruned=24, Speedup=0.83x
Tick 470: Raw=20, Pruned=24, Speedup=0.83x
Tick 471: Raw=20, Pruned=24, Speedup=0.83x
Tick 472: Raw=20, Pruned=24, Speedup=0.83x
Tick 473: Raw=20, Pruned=24, Speedup=0.83x
Tick 474: Raw=20, Pruned=24, Speedup=0.83x
Tick 475: Raw=20, Pruned=24, Speedup=0.83x
